NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
134,니꺼 내꺼 다 내꺼,캡틴김,(주)담화,,(주)담화,2021-09-,개봉영화,장편,한국,1.0,,20.0,0.0,0.0,성인물(에로),청소년관람불가,일반영화
135,불륜 운전 연수: 여보 그 스틱이 아냐!,,,,(주)씨맥스커뮤니케이션즈,2021-09-,개봉영화,장편,일본,1.0,,20.0,0.0,0.0,드라마,청소년관람불가,일반영화
136,세 며느리와 시아버지,이로운,비스킷미디어,,(주)레드언더미디어,2021-09-,개봉영화,장편,한국,1.0,,20.0,0.0,0.0,드라마,청소년관람불가,일반영화
137,섹스 24시 편의점: 카드 말고 다른 거 넣어주세요,,,,(주)씨맥스커뮤니케이션즈,2021-09-,개봉영화,장편,일본,1.0,,20.0,0.0,0.0,드라마,청소년관람불가,일반영화
138,순진한 새댁의 아랫도리,강현성,(주)샤이커뮤니케이션즈,,(주)샤이커뮤니케이션즈,2021-09-,개봉영화,장편,한국,1.0,,20.0,0.0,0.0,성인물(에로),청소년관람불가,일반영화
139,여동생의 성교육,강현성,(주)샤이커뮤니케이션즈,,(주)샤이커뮤니케이션즈,2021-09-,개봉영화,장편,한국,1.0,,20.0,0.0,0.0,성인물(에로),청소년관람불가,일반영화
140,완벽한 타인과의 섹스경험담,이로운,비스킷미디어,,(주)레드언더미디어,2021-09-,개봉영화,장편,한국,1.0,,20.0,0.0,0.0,드라마,청소년관람불가,일반영화
141,외로운 과부의 욕정,강현성,(주)샤이커뮤니케이션즈,,(주)샤이커뮤니케이션즈,2021-09-,개봉영화,장편,한국,1.0,,20.0,0.0,0.0,성인물(에로),청소년관람불가,일반영화
142,원나잇 라디오,이로운,비스킷미디어,,(주)레드언더미디어,2021-09-,개봉영화,장편,한국,1.0,,20.0,0.0,0.0,드라마,청소년관람불가,일반영화
143,처제길들이기 오리진,패콘,주식회사 패콘,,(주)룬컴퍼니,2021-09-,개봉영화,장편,한국,1.0,,20.0,0.0,0.0,성인물(에로),청소년관람불가,일반영화
144,하대하던 점주의 노예가 되어버렸다,,,,(주)씨맥스커뮤니케이션즈,2021-09-,개봉영화,장편,일본,1.0,,20.0,0.0,0.0,드라마,청소년관람불가,일반영화
145,한 침대 두 커플,맹진사,(주)담화,,(주)담화,2021-09-,개봉영화,장편,한국,1.0,,20.0,0.0,0.0,성인물(에로),청소년관람불가,일반영화
146,SNS 불륜 집착 유부녀,,,,(주)씨맥스커뮤니케이션즈,2021-09-,개봉영화,장편,일본,1.0,,20.0,0.0,0.0,드라마,청소년관람불가,일반영화
147,사제로부터 온 편지,최종태,(주)영화사소요,,(주)드림팩트엔터테인먼트,2021-08-,개봉영화,장편,한국,4.0,,19.0,,5.0,다큐멘터리,전체관람가,독립/예술영화
148,인트로덕션,홍상수,(주)영화제작전원사,,"(주)영화제작전원사 ,(주)콘텐츠판다",2021-05-,개봉영화,장편,한국,91.0,,18.0,,18.0,기타,12세이상관람가,독립/예술영화
149,금의위-명조자객,,,,(유)조이앤시네마,2021-09-,개봉영화,장편,중국,8.0,,16.0,,2.0,액션,15세이상관람가,독립/예술영화
150,마계대전,회우,,,(유)조이앤시네마,2021-09-,개봉영화,장편,홍콩,4.0,,12.0,0.0,0.0,드라마,15세이상관람가,독립/예술영화
151,성인용품사용설명서3 : 젊은 여사장,이우민,(주)로드하우스,,노바엔터테인먼트,2021-09-,개봉영화,장편,한국,5.0,,10.0,,6.0,멜로/로맨스,청소년관람불가,일반영화
152,스왈로 탐험대와 아마존 해적,필립파 로소프,,(주)나이너스엔터테인먼트,(주)나이너스엔터테인먼트,2021-09-,개봉영화,장편,영국,1.0,,10.0,0.0,0.0,어드벤처,전체관람가,일반영화
153,우리는 매일매일,강유가람,영희야 놀자,,㈜인디스토리,2021-06-,개봉영화,장편,한국,30.0,,10.0,0.0,0.0,다큐멘터리,12세이상관람가,독립/예술영화
154,킬러의 보디가드 2,패트릭 휴즈,,(유)조이앤시네마,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2021-06-,개봉영화,장편,미국,975.0,,7.0,0.0,0.0,액션,청소년관람불가,일반영화
155,해피엔딩,이동현,(주)디에이치미디어,,(주)케이알씨지,2021-09-,개봉영화,장편,한국,5.0,,7.0,,1.0,성인물(에로),청소년관람불가,일반영화
156,룸메이트,이희성,(주)영진크리에이티브,,(주)영진크리에이티브,2021-09-,개봉영화,장편,한국,5.0,,5.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
157,며느리의 첫 정,윤준세,(주)영진크리에이티브,,(주)영진크리에이티브,2021-09-,개봉영화,장편,한국,5.0,,5.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
158,북샵,이자벨 코이젯트,,(주)콘텐츠판다,(주)콘텐츠판다,2021-06-,개봉영화,장편,스페인,9.0,,5.0,,5.0,드라마,전체관람가,독립/예술영화
159,마녀의 저주,에디 렝겔,,,(유)조이앤시네마,2021-09-,개봉영화,장편,미국,2.0,,2.0,0.0,0.0,공포(호러),15세이상관람가,일반영화
160,맨디 : 귀신들린 인형,제이미 웨스턴,,,(유)조이앤시네마,2021-09-,개봉영화,장편,영국,2.0,,2.0,0.0,0.0,공포(호러),15세이상관람가,일반영화
161,액션히어로,이진호,한국예술종합학교 산학협력단,,(주)트리플픽쳐스,2021-07-,개봉영화,장편,한국,110.0,,2.0,0.0,0.0,액션,12세이상관람가,독립/예술영화
162,혼외정사,최성은,(주)영화사히트,,(주)영화사히트,2021-09-,개봉영화,장편,한국,1.0,,2.0,0.0,0.0,드라마,청소년관람불가,일반영화
163,가슴 큰 그녀:질펀한 마사지,버드맨 텟페이,,,(주)영진크리에이티브,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
164,과부 형수 치마 벗는 날,쿠도 타이요,,,(주)영진크리에이티브,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
165,그 술집의 사정,Mr.나,(주)픽쳐레스크,,(주)티에스앤컴퍼니,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
166,깊이 넣어준 사위,,,,(주)픽쳐레스크,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
